# BUSCO version is: 5.2.2 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
11237at7742	Complete	scaffold_3	248464965	248574040	-	3264.6	1708
11472at7742	Complete	scaffold_4	6765864	6810415	+	2808.2	1400
11505at7742	Complete	scaffold_5	222172045	222188540	-	2184.5	1381
11550at7742	Complete	scaffold_2	40290566	40374733	+	1574.0	1165
11696at7742	Complete	scaffold_13	12901862	12944192	+	2683.6	1559
11895at7742	Complete	scaffold_14	16128807	16194827	+	2496.4	1819
12004at7742	Complete	scaffold_3	184893733	185049147	+	2552.1	1418
12300at7742	Complete	scaffold_5	36543210	36584493	+	1518.5	1334
12491at7742	Complete	scaffold_4	225653103	225803804	+	2585.8	1368
12613at7742	Complete	scaffold_1	288390946	288702603	-	2746.4	1468
12616at7742	Complete	scaffold_9	10519959	10596989	+	2645.6	1527
12659at7742	Complete	scaffold_9	31809211	31888516	-	2959.8	1546
13296at7742	Complete	scaffold_2	192268089	192320065	-	1693.0	1242
13480at7742	Complete	scaffold_3	236915385	236949273	-	1070.9	986
13670at7742	Complete	scaffold_1	218315	271075	-	2385.2	1418
13881at7742	Complete	scaffold_3	287597270	287652465	-	2175.7	1358
13963at7742	Complete	scaffold_4	53729545	53775129	-	1701.5	1109
13987at7742	Complete	scaffold_3	236561113	236581619	-	1816.6	1189
14102at7742	Complete	scaffold_5	138032212	138192359	-	1883.2	1496
14442at7742	Complete	scaffold_9	21804835	21940675	-	2690.5	1509
14788at7742	Complete	scaffold_4	228159221	228235002	-	2195.1	1385
15083at7742	Complete	scaffold_2	323966983	324056183	-	1382.9	1315
15257at7742	Complete	scaffold_5	35907597	35977663	+	1661.7	2086
15408at7742	Complete	scaffold_1	19586558	19680387	+	3034.6	1612
15604at7742	Complete	scaffold_3	132175362	132251509	-	3135.0	1618
15611at7742	Complete	scaffold_4	88536910	88611992	-	1572.8	1311
